#BGC Name	Clan Number	Family Number
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000025.region001	126	13
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000003.region001	126	35
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region001	126	76
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region003	126	76
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region006	126	103
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000003.region002	126	103
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000004.region001	126	103
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000006.region001	126	103
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region001	126	126
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region001	126	126
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region004	126	136
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region001	126	260
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region002	126	316
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000006.region001	126	316
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000003.region001	126	316
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region002	126	316
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region002	126	316
Halobacillus_sp._GCF_017307035.prokka-c00012_NZ_JAFL...region002	126	316
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region006	126	316
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000034.region002	126	316
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000001.region002	126	316
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region004	140	24
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region004	140	24
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region008	140	140
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000004.region002	140	143
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region001	140	143
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000009.region002	140	143
Halobacillus_litoralis_GCF_020171885.prokka-c00004_NZ_JAIV...region002	140	143
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region002	140	212
Halobacillus_sp._GCF_902809865.prokka-c00001_NZ_CADD...region001	140	212
Halobacillus_salinus_GCF_004684905.prokka-NZ_SRJC01000002.region001	140	221
Halobacillus_salinus_GCF_900166575.prokka-NZ_FVYZ01000003.region001	140	221
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000013.region001	140	254
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000028.region001	140	254
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000001.region002	140	254
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000004.region001	140	254
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region007	140	254
Halobacillus_sp._GCF_017307035.prokka-c00001_NZ_JAFL...region003	140	254
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000078.region001	140	254
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000008.region001	140	254
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000004.region001	87	25
Halobacillus_andaensis_GCF_017874135.prokka-c00003_NZ_JAGG...region001	87	25
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region004	87	87
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region005	87	87
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region009	87	141
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region005	87	272
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region008	87	275
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region001	268	27
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000001.region001	268	27
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region001	268	268
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000003.region001	312	30
Halobacillus_andaensis_GCF_017874135.prokka-c00004_NZ_JAGG...region001	312	30
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region004	312	30
Halobacillus_sp._GCF_024189295.prokka-c00001_NZ_JAIZ...region001	312	30
Halobacillus_sp._GCF_024189315.prokka-c00009_NZ_JAIZ...region001	312	30
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000003.region002	312	30
Halobacillus_sp._GCF_902809865.prokka-c00001_NZ_CADD...region005	312	312
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000001.region002	34	34
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region003	34	63
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region006	34	63
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region006	34	63
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region006	34	63
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000005.region001	34	63
Halobacillus_litoralis_GCF_020171885.prokka-c00005_NZ_JAIV...region001	34	63
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region005	34	95
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region005	34	95
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000004.region002	34	95
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000007.region002	34	95
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region001	34	186
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region006	34	216
Halobacillus_sp._GCF_024189295.prokka-c00033_NZ_JAIZ...region003	34	294
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000007.region001	315	39
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region001	315	43
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000006.region002	315	43
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000003.region002	315	43
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region001	315	43
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region001	315	43
Halobacillus_sp._GCF_017307035.prokka-c00012_NZ_JAFL...region001	315	43
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region007	315	43
Halobacillus_sp._GCF_022919835.prokka-NZ_CP095074.1.region003	315	278
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095075.1.region007	315	278
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000034.region001	315	315
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000001.region001	315	315
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000009.region001	47	47
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region001	47	47
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region001	47	47
Halobacillus_halophilus_GCF_020171985.prokka-c00009_NZ_JAIV...region001	47	47
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region004	47	94
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region004	47	94
