BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region003	NZ_FNIZ01000002	Halobacillus aidingensis strain strain	RiPP-like.LAP	RiPPs	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000016.region001	NZ_FOOG01000016	Halobacillus alkaliphilus strain strain	RiPP-like.LAP	RiPPs	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region005	c00001_gnl_CIA..	Halobacillus andaensis strain strain	lassopeptide	RiPPs	Halobacillus andaensis gnl_CIATE.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region002	NC_017668.1	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NC_017668.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region003	NC_017668.1	Halobacillus halophilus strain strain	RiPP-like.LAP	RiPPs	Halobacillus halophilus NC_017668.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region002	NZ_CP022106.1	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NZ_CP0221.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region003	NZ_CP022106.1	Halobacillus halophilus strain strain	RiPP-like.LAP	RiPPs	Halobacillus halophilus NZ_CP0221.	
Halobacillus_halophilus_GCF_020171985.prokka-c00002_NZ_JAIV...region001	c00002_NZ_JAIV..	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NZ_JAIVAL.	
Halobacillus_halophilus_GCF_020171985.prokka-c00007_NZ_JAIV...region001	c00007_NZ_JAIV..	Halobacillus halophilus strain strain	RiPP-like.LAP	RiPPs	Halobacillus halophilus NZ_JAIVAL.	
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region003	NZ_FVZB01000006	Halobacillus hunanensis strain strain	lanthipeptide-class-ii	RiPPs	Halobacillus hunanensis NZ_FVZB01.	
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region006	c00001_NZ_CACV..	Halobacillus ihumii strain strain	lanthipeptide-class-ii	RiPPs	Halobacillus ihumii NZ_CACVAO.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region005	NZ_CP026118.1	Halobacillus litoralis strain strain	thiopeptide.LAP.cyclic-lactone-autoinducer	RiPPs	Halobacillus litoralis NZ_CP0261.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region007	NZ_CP026118.1	Halobacillus litoralis strain strain	RiPP-like	RiPPs	Halobacillus litoralis NZ_CP0261.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026119.1.region001	NZ_CP026119.1	Halobacillus litoralis strain strain	RiPP-like	RiPPs	Halobacillus litoralis NZ_CP0261.	
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000015.region001	NZ_WMEZ01000015	Halobacillus litoralis strain strain	RiPP-like.LAP	RiPPs	Halobacillus litoralis NZ_WMEZ01.	
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000001.region001	NZ_WMFA01000001	Halobacillus litoralis strain strain	lassopeptide	RiPPs	Halobacillus litoralis NZ_WMFA01.	
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region003	NZ_WMFA01000002	Halobacillus litoralis strain strain	RiPP-like.LAP	RiPPs	Halobacillus litoralis NZ_WMFA01.	
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000017.region001	NZ_WMFA01000017	Halobacillus litoralis strain strain	cyclic-lactone-autoinducer	RiPPs	Halobacillus litoralis NZ_WMFA01.	
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region003	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	RiPP-like.LAP	RiPPs	Halobacillus litoralis NZ_JAIVKO.	
Halobacillus_litoralis_GCF_020524085.prokka-c00002_NZ_JAIV...region001	c00002_NZ_JAIV..	Halobacillus litoralis strain strain	lassopeptide	RiPPs	Halobacillus litoralis NZ_JAIVKO.	
Halobacillus_mangrovi_GCF_002097535.prokka-NZ_CP020772.1.region001	NZ_CP020772.1	Halobacillus mangrovi strain strain	RiPP-like.LAP	RiPPs	Halobacillus mangrovi NZ_CP0207.	
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region001	NZ_LT800499.1	Halobacillus massiliensis strain strain	RiPP-like.LAP	RiPPs	Halobacillus massiliensis NZ_LT8004.	
Halobacillus_sp._GCF_000328325.prokka-NZ_ANPF01000038.region001	NZ_ANPF01000038	Halobacillus sp. strain strain	LAP	RiPPs	Halobacillus sp. NZ_ANPF01.	
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000259.region001	NZ_JRNX01000259	Halobacillus sp. strain strain	RRE-containing	RiPPs	Halobacillus sp. NZ_JRNX01.	
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000280.region001	NZ_JRNX01000280	Halobacillus sp. strain strain	RiPP-like	RiPPs	Halobacillus sp. NZ_JRNX01.	
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000441.region001	NZ_JRNX01000441	Halobacillus sp. strain strain	lassopeptide	RiPPs	Halobacillus sp. NZ_JRNX01.	
Halobacillus_sp._GCF_001592845.prokka-NZ_LSOC01000005.region001	NZ_LSOC01000005	Halobacillus sp. strain strain	LAP	RiPPs	Halobacillus sp. NZ_LSOC01.	
Halobacillus_sp._GCF_015905325.prokka-c00001_NZ_JADZ...region006	c00001_NZ_JADZ..	Halobacillus sp. strain strain	RiPP-like	RiPPs	Halobacillus sp. NZ_JADZSC.	
Halobacillus_sp._GCF_017307035.prokka-c00012_NZ_JAFL...region003	c00012_NZ_JAFL..	Halobacillus sp. strain strain	RiPP-like.LAP	RiPPs	Halobacillus sp. NZ_JAFLHE.	
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region005	c00001_NZ_JAIE..	Halobacillus sp. strain strain	RiPP-like.LAP	RiPPs	Halobacillus sp. NZ_JAIEZV.	
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region002	NZ_CP095073.1	Halobacillus sp. strain strain	RiPP-like.LAP	RiPPs	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095075.1.region004	NZ_CP095075.1	Halobacillus sp. strain strain	lassopeptide	RiPPs	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095076.1.region001	NZ_CP095076.1	Halobacillus sp. strain strain	lassopeptide	RiPPs	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_024189295.prokka-c00011_NZ_JAIZ...region001	c00011_NZ_JAIZ..	Halobacillus sp. strain strain	lassopeptide	RiPPs	Halobacillus sp. NZ_JAIZEN.	
Halobacillus_sp._GCF_024189315.prokka-c00006_NZ_JAIZ...region001	c00006_NZ_JAIZ..	Halobacillus sp. strain strain	RiPP-like	RiPPs	Halobacillus sp. NZ_JAIZEO.	
Halobacillus_sp._GCF_024189315.prokka-c00009_NZ_JAIZ...region002	c00009_NZ_JAIZ..	Halobacillus sp. strain strain	lassopeptide	RiPPs	Halobacillus sp. NZ_JAIZEO.	
Halobacillus_sp._GCF_902809865.prokka-c00001_NZ_CADD...region006	c00001_NZ_CADD..	Halobacillus sp. strain strain	cyclic-lactone-autoinducer.RiPP-like.LAP	RiPPs	Halobacillus sp. NZ_CADDWH.	
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000004.region001	NZ_QTLC01000004	Halobacillus trueperi strain strain	LAP	RiPPs	Halobacillus trueperi NZ_QTLC01.	
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000001.region003	NZ_QUAE01000001	Halobacillus trueperi strain strain	RiPP-like.LAP	RiPPs	Halobacillus trueperi NZ_QUAE01.	
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000014.region001	NZ_QUAE01000014	Halobacillus trueperi strain strain	RRE-containing	RiPPs	Halobacillus trueperi NZ_QUAE01.	
