#BGC Name	Clan Number	Family Number
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region001	6	6
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region001	6	6
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region002	6	6
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region002	7	7
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region002	7	7
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region003	7	7
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region003	8	8
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region003	8	8
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region004	9	9
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region004	9	9
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000004.region001	10	10
Halobacillus_andaensis_GCF_017874135.prokka-c00003_NZ_JAGG...region001	10	10
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region001	12	12
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000003.region001	15	15
Halobacillus_andaensis_GCF_017874135.prokka-c00004_NZ_JAGG...region001	15	15
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region004	15	15
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region005	16	16
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region006	17	17
