BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region003	NZ_FNIZ01000002	Halobacillus aidingensis strain strain	LAP.RiPP-like	RiPPs	Halobacillus aidingensis NZ_FNIZ0100.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000016.region001	NZ_FOOG01000016	Halobacillus alkaliphilus strain strain	LAP.RiPP-like	RiPPs	Halobacillus alkaliphilus NZ_FOOG0100.	
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region005	c00001_gnl_CIA..	Halobacillus andaensis strain strain	lassopeptide	RiPPs	Halobacillus andaensis gnl_CIATEJ_.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region002	NC_017668.1	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NC_017668.1.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region003	NC_017668.1	Halobacillus halophilus strain strain	LAP.RiPP-like	RiPPs	Halobacillus halophilus NC_017668.1.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region002	NZ_CP022106.1	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NZ_CP022106.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region003	NZ_CP022106.1	Halobacillus halophilus strain strain	LAP.RiPP-like	RiPPs	Halobacillus halophilus NZ_CP022106.	
Halobacillus_halophilus_GCF_020171985.prokka-c00002_NZ_JAIV...region001	c00002_NZ_JAIV..	Halobacillus halophilus strain strain	RRE-containing	RiPPs	Halobacillus halophilus NZ_JAIVAL01.	
Halobacillus_halophilus_GCF_020171985.prokka-c00007_NZ_JAIV...region001	c00007_NZ_JAIV..	Halobacillus halophilus strain strain	LAP.RiPP-like	RiPPs	Halobacillus halophilus NZ_JAIVAL01.	
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region003	NZ_FVZB01000006	Halobacillus hunanensis strain strain	lanthipeptide-class-ii	RiPPs	Halobacillus hunanensis NZ_FVZB0100.	
