#BGC Name	Clan Number	Family Number
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000037.region001	14	14
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region004	14	14
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region004	14	14
Halobacillus_halophilus_GCF_020171985.prokka-c00014_NZ_JAIV...region001	14	14
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region003	17	17
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region003	17	17
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region006	32	32
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000003.region001	32	32
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000001.region001	33	33
Halobacillus_halophilus_GCF_020171985.prokka-c00001_NZ_JAIV...region003	70	70
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region002	77	77
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000007.region001	80	80
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region004	86	86
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region007	89	89
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000002.region001	102	102
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000003.region001	102	102
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000002.region001	102	102
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region003	111	111
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region003	111	111
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000001.region003	111	111
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000003.region001	111	111
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000008.region001	118	118
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000006.region001	121	121
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region003	121	121
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region003	121	121
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region003	121	121
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000013.region001	121	121
Halobacillus_litoralis_GCF_020171885.prokka-c00007_NZ_JAIV...region001	121	121
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region004	125	125
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region007	125	125
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region007	125	125
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region007	125	125
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000002.region001	125	125
Halobacillus_litoralis_GCF_020171885.prokka-c00005_NZ_JAIV...region002	125	125
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region006	138	138
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region006	191	191
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region007	217	217
Halobacillus_litoralis_GCF_020171725.prokka-c00001_NZ_JAIV...region002	225	225
Halobacillus_locisalis_GCF_013694105.prokka-c00002_NZ_JACE...region003	225	225
Halobacillus_salinus_GCF_004684905.prokka-NZ_SRJC01000001.region003	225	225
Halobacillus_salinus_GCF_900166575.prokka-NZ_FVYZ01000004.region003	225	225
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000153.region001	233	233
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000164.region001	234	234
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region002	242	242
Halobacillus_sp._GCF_000328325.prokka-NZ_ANPF01000090.region001	242	242
Halobacillus_sp._GCF_001592845.prokka-NZ_LSOC01000002.region003	242	242
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000005.region001	246	246
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region003	246	246
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region004	246	246
Halobacillus_mangrovi_GCF_002097535.prokka-NZ_CP020772.1.region005	246	246
Halobacillus_sp._GCF_015905325.prokka-c00001_NZ_JADZ...region001	246	246
