#BGC Name	Clan Number	Family Number
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region001	114	114
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region001	114	114
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000001.region001	114	114
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000004.region003	114	114
Halobacillus_yeomjeoni_GCF_020171525.prokka-c00001_NZ_JAIV...region003	114	114
Halobacillus_sp._GCF_000328325.prokka-NZ_ANPF01000121.region001	231	231
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000413.region001	237	237
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000009.region002	253	253
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000006.region002	253	253
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000020.region001	253	253
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region006	253	253
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region006	253	253
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region002	253	253
Halobacillus_halophilus_GCF_020171985.prokka-c00001_NZ_JAIV...region002	253	253
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000007.region003	253	253
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region002	253	253
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region005	253	253
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region005	253	253
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region001	253	253
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region005	253	253
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000005.region002	253	253
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000001.region003	253	253
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region006	253	253
Halobacillus_litoralis_GCF_020171725.prokka-c00002_NZ_JAIV...region001	253	253
Halobacillus_litoralis_GCF_020171885.prokka-c00006_NZ_JAIV...region002	253	253
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region004	253	253
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region006	253	253
Halobacillus_locisalis_GCF_013694105.prokka-c00002_NZ_JACE...region001	253	253
Halobacillus_mangrovi_GCF_002097535.prokka-NZ_CP020772.1.region003	253	253
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region003	253	253
Halobacillus_salinus_GCF_004684905.prokka-NZ_SRJC01000001.region001	253	253
Halobacillus_salinus_GCF_900166575.prokka-NZ_FVYZ01000004.region001	253	253
Halobacillus_sp._GCF_001592845.prokka-NZ_LSOC01000002.region005	253	253
Halobacillus_sp._GCF_015905325.prokka-c00001_NZ_JADZ...region003	253	253
Halobacillus_sp._GCF_017307035.prokka-c00001_NZ_JAFL...region002	253	253
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region002	253	253
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000068.region001	253	253
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000005.region002	253	253
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region004	271	271
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000003.region002	309	309
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region001	309	309
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region001	309	309
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region002	309	309
Halobacillus_sp._GCF_022919835.prokka-NZ_CP095074.1.region002	309	309
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095075.1.region001	309	309
Halobacillus_sp._GCF_024189295.prokka-c00033_NZ_JAIZ...region002	309	309
Halobacillus_sp._GCF_024189315.prokka-c00005_NZ_JAIZ...region001	309	309
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000002.region002	309	309
Halobacillus_sp._GCF_902809865.prokka-c00001_NZ_CADD...region002	309	309
