BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region001	NZ_FNIZ01000002	Halobacillus aidingensis strain strain	siderophore	Others	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region002	NZ_FNIZ01000002	Halobacillus aidingensis strain strain	siderophore	Others	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region003	NZ_FNIZ01000002	Halobacillus aidingensis strain strain	RiPP-like.LAP	RiPPs	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000007.region001	NZ_FNIZ01000007	Halobacillus aidingensis strain strain	terpene	Terpene	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000009.region001	NZ_FNIZ01000009	Halobacillus aidingensis strain strain	betalactone	Others	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000009.region002	NZ_FNIZ01000009	Halobacillus aidingensis strain strain	T3PKS	PKSother	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000013.region001	NZ_FNIZ01000013	Halobacillus aidingensis strain strain	ectoine	Others	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000031.region001	NZ_FNIZ01000031	Halobacillus aidingensis strain strain	terpene	Terpene	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000003.region001	NZ_FOOG01000003	Halobacillus alkaliphilus strain strain	betalactone	Others	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000003.region002	NZ_FOOG01000003	Halobacillus alkaliphilus strain strain	T3PKS	PKSother	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000009.region001	NZ_FOOG01000009	Halobacillus alkaliphilus strain strain	ectoine	Others	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000010.region001	NZ_FOOG01000010	Halobacillus alkaliphilus strain strain	siderophore	Others	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000016.region001	NZ_FOOG01000016	Halobacillus alkaliphilus strain strain	RiPP-like.LAP	RiPPs	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000025.region001	NZ_FOOG01000025	Halobacillus alkaliphilus strain strain	siderophore	Others	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000037.region001	NZ_FOOG01000037	Halobacillus alkaliphilus strain strain	terpene	Terpene	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region001	NZ_BMEL01000001	Halobacillus andaensis strain strain	T3PKS	PKSother	Halobacillus andaensis NZ_BMEL01.	
