BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000007.region001	NZ_FNIZ01000007	Halobacillus aidingensis strain strain	terpene	Terpene	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000031.region001	NZ_FNIZ01000031	Halobacillus aidingensis strain strain	terpene	Terpene	Halobacillus aidingensis NZ_FNIZ01.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000037.region001	NZ_FOOG01000037	Halobacillus alkaliphilus strain strain	terpene	Terpene	Halobacillus alkaliphilus NZ_FOOG01.	
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region003	NZ_BMEL01000001	Halobacillus andaensis strain strain	terpene	Terpene	Halobacillus andaensis NZ_BMEL01.	
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region003	c00001_NZ_JAGG..	Halobacillus andaensis strain strain	terpene	Terpene	Halobacillus andaensis NZ_JAGGKY.	
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region006	c00001_gnl_CIA..	Halobacillus andaensis strain strain	terpene	Terpene	Halobacillus andaensis gnl_CIATE.	
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000001.region001	NZ_FOSB01000001	Halobacillus dabanensis strain strain	terpene	Terpene	Halobacillus dabanensis NZ_FOSB01.	
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000005.region001	NZ_FOSB01000005	Halobacillus dabanensis strain strain	terpene	Terpene	Halobacillus dabanensis NZ_FOSB01.	
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000004.region001	NZ_BJYD01000004	Halobacillus faecis strain strain	terpene	Terpene	Halobacillus faecis NZ_BJYD01.	
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000005.region001	NZ_BJYD01000005	Halobacillus faecis strain strain	terpene	Terpene	Halobacillus faecis NZ_BJYD01.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region004	NC_017668.1	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NC_017668.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region004	NZ_CP022106.1	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NZ_CP0221.	
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region004	NZ_WMEP01000001	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NZ_WMEP01.	
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000006.region001	NZ_WMEP01000006	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NZ_WMEP01.	
Halobacillus_halophilus_GCF_020171985.prokka-c00001_NZ_JAIV...region003	c00001_NZ_JAIV..	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NZ_JAIVAL.	
Halobacillus_halophilus_GCF_020171985.prokka-c00014_NZ_JAIV...region001	c00014_NZ_JAIV..	Halobacillus halophilus strain strain	terpene	Terpene	Halobacillus halophilus NZ_JAIVAL.	
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region002	NZ_FVZB01000006	Halobacillus hunanensis strain strain	terpene	Terpene	Halobacillus hunanensis NZ_FVZB01.	
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000007.region001	NZ_FVZB01000007	Halobacillus hunanensis strain strain	terpene	Terpene	Halobacillus hunanensis NZ_FVZB01.	
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region004	c00001_NZ_CACV..	Halobacillus ihumii strain strain	terpene	Terpene	Halobacillus ihumii NZ_CACVAO.	
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region007	c00001_NZ_CACV..	Halobacillus ihumii strain strain	terpene	Terpene	Halobacillus ihumii NZ_CACVAO.	
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000002.region001	NZ_CCDJ010000002	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDJ01.	
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region003	NZ_CCDJ010000003	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDJ01.	
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region003	NZ_CCDH010000002	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDH01.	
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000003.region001	NZ_CCDH010000003	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDH01.	
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000001.region003	NZ_CCDI010000001	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDI01.	
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000002.region001	NZ_CCDI010000002	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_CCDI01.	
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000003.region001	NZ_FNWW01000003	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_FNWW01.	
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000008.region001	NZ_FNWW01000008	Halobacillus karajensis strain strain	terpene	Terpene	Halobacillus karajensis NZ_FNWW01.	
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region003	NZ_AUDY01000008	Halobacillus kuroshimensis strain strain	terpene	Terpene	Halobacillus kuroshimensis NZ_AUDY01.	
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region007	NZ_AUDY01000008	Halobacillus kuroshimensis strain strain	terpene	Terpene	Halobacillus kuroshimensis NZ_AUDY01.	
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region003	c00001_NZ_JAEK..	Halobacillus kuroshimensis strain strain	terpene	Terpene	Halobacillus kuroshimensis NZ_JAEKJY.	
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region007	c00001_NZ_JAEK..	Halobacillus kuroshimensis strain strain	terpene	Terpene	Halobacillus kuroshimensis NZ_JAEKJY.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region003	NZ_CP026118.1	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_CP0261.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region006	NZ_CP026118.1	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_CP0261.	
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region003	NZ_WMET01000001	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMET01.	
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region007	NZ_WMET01000001	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMET01.	
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000002.region001	NZ_WMEW01000002	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMEW01.	
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000013.region001	NZ_WMEW01000013	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMEW01.	
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000001.region001	NZ_WMEZ01000001	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMEZ01.	
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000001.region005	NZ_WMEZ01000001	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMEZ01.	
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region004	NZ_WMFA01000002	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMFA01.	
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000008.region001	NZ_WMFA01000008	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_WMFA01.	
Halobacillus_litoralis_GCF_020171725.prokka-c00001_NZ_JAIV...region002	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVAJ.	
Halobacillus_litoralis_GCF_020171885.prokka-c00005_NZ_JAIV...region002	c00005_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVAK.	
Halobacillus_litoralis_GCF_020171885.prokka-c00007_NZ_JAIV...region001	c00007_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVAK.	
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region002	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVKN.	
Halobacillus_litoralis_GCF_020524025.prokka-c00001_NZ_JAIV...region006	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVKN.	
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region004	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVKO.	
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region008	c00001_NZ_JAIV..	Halobacillus litoralis strain strain	terpene	Terpene	Halobacillus litoralis NZ_JAIVKO.	
Halobacillus_locisalis_GCF_013694105.prokka-c00002_NZ_JACE...region003	c00002_NZ_JACE..	Halobacillus locisalis strain strain	terpene	Terpene	Halobacillus locisalis NZ_JACEFG.	
Halobacillus_mangrovi_GCF_002097535.prokka-NZ_CP020772.1.region005	NZ_CP020772.1	Halobacillus mangrovi strain strain	terpene	Terpene	Halobacillus mangrovi NZ_CP0207.	
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region005	NZ_LT800499.1	Halobacillus massiliensis strain strain	terpene	Terpene	Halobacillus massiliensis NZ_LT8004.	
Halobacillus_massiliensis_GCF_900166625.prokka-NZ_LT800499.1.region007	NZ_LT800499.1	Halobacillus massiliensis strain strain	terpene	Terpene	Halobacillus massiliensis NZ_LT8004.	
Halobacillus_salinus_GCF_004684905.prokka-NZ_SRJC01000001.region003	NZ_SRJC01000001	Halobacillus salinus strain strain	terpene	Terpene	Halobacillus salinus NZ_SRJC01.	
Halobacillus_salinus_GCF_900166575.prokka-NZ_FVYZ01000004.region003	NZ_FVYZ01000004	Halobacillus salinus strain strain	terpene	Terpene	Halobacillus salinus NZ_FVYZ01.	
Halobacillus_sp._GCF_000328325.prokka-NZ_ANPF01000090.region001	NZ_ANPF01000090	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_ANPF01.	
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000153.region001	NZ_JRNX01000153	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JRNX01.	
Halobacillus_sp._GCF_000786645.prokka-NZ_JRNX01000164.region001	NZ_JRNX01000164	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JRNX01.	
Halobacillus_sp._GCF_001592845.prokka-NZ_LSOC01000002.region003	NZ_LSOC01000002	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_LSOC01.	
Halobacillus_sp._GCF_015905325.prokka-c00001_NZ_JADZ...region001	c00001_NZ_JADZ..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JADZSC.	
Halobacillus_sp._GCF_015905325.prokka-c00001_NZ_JADZ...region005	c00001_NZ_JADZ..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JADZSC.	
Halobacillus_sp._GCF_017307035.prokka-c00001_NZ_JAFL...region004	c00001_NZ_JAFL..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAFLHE.	
Halobacillus_sp._GCF_017307035.prokka-c00017_NZ_JAFL...region001	c00017_NZ_JAFL..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAFLHE.	
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region004	c00001_NZ_JAIE..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAIEZV.	
Halobacillus_sp._GCF_019599545.prokka-c00004_NZ_JAIE...region001	c00004_NZ_JAIE..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAIEZV.	
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region006	NZ_CP095073.1	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022919095.prokka-NZ_CP095073.1.region007	NZ_CP095073.1	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022919835.prokka-NZ_CP095074.1.region005	NZ_CP095074.1	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095075.1.region003	NZ_CP095075.1	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_022921115.prokka-NZ_CP095075.1.region005	NZ_CP095075.1	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CP0950.	
Halobacillus_sp._GCF_024189295.prokka-c00033_NZ_JAIZ...region001	c00033_NZ_JAIZ..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAIZEN.	
Halobacillus_sp._GCF_024189315.prokka-c00005_NZ_JAIZ...region003	c00005_NZ_JAIZ..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAIZEO.	
Halobacillus_sp._GCF_024189315.prokka-c00008_NZ_JAIZ...region001	c00008_NZ_JAIZ..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_JAIZEO.	
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000003.region001	NZ_OESS01000003	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_OESS01.	
Halobacillus_sp._GCF_902809865.prokka-c00001_NZ_CADD...region004	c00001_NZ_CADD..	Halobacillus sp. strain strain	terpene	Terpene	Halobacillus sp. NZ_CADDWH.	
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000064.region001	NZ_QTLC01000064	Halobacillus trueperi strain strain	terpene	Terpene	Halobacillus trueperi NZ_QTLC01.	
Halobacillus_trueperi_GCF_003382325.prokka-NZ_QTLC01000096.region001	NZ_QTLC01000096	Halobacillus trueperi strain strain	terpene	Terpene	Halobacillus trueperi NZ_QTLC01.	
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000001.region004	NZ_QUAE01000001	Halobacillus trueperi strain strain	terpene	Terpene	Halobacillus trueperi NZ_QUAE01.	
Halobacillus_trueperi_GCF_003386945.prokka-NZ_QUAE01000002.region001	NZ_QUAE01000002	Halobacillus trueperi strain strain	terpene	Terpene	Halobacillus trueperi NZ_QUAE01.	
Halobacillus_yeomjeoni_GCF_020171525.prokka-c00001_NZ_JAIV...region001	c00001_NZ_JAIV..	Halobacillus yeomjeoni strain strain	terpene	Terpene	Halobacillus yeomjeoni NZ_JAIVAI.	
Halobacillus_yeomjeoni_GCF_020171525.prokka-c00001_NZ_JAIV...region005	c00001_NZ_JAIV..	Halobacillus yeomjeoni strain strain	terpene	Terpene	Halobacillus yeomjeoni NZ_JAIVAI.	
