#BGC Name	Family Number
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000016.region001	12
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region003	12
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region003	12
Halobacillus_halophilus_GCF_020171985.prokka-c00007_NZ_JAIV...region001	12
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000025.region001	13
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000037.region001	14
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region004	14
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region004	14
Halobacillus_halophilus_GCF_020171985.prokka-c00014_NZ_JAIV...region001	14
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region003	17
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region003	17
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region004	24
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region004	24
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000004.region001	25
Halobacillus_andaensis_GCF_017874135.prokka-c00003_NZ_JAGG...region001	25
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000003.region001	30
Halobacillus_andaensis_GCF_017874135.prokka-c00004_NZ_JAGG...region001	30
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region004	30
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000003.region002	30
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region006	32
Halobacillus_sp._GCF_900240285.prokka-NZ_OESS01000003.region001	32
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000001.region001	33
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000001.region002	34
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000003.region001	35
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000007.region001	39
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000002.region001	43
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000006.region002	43
Halobacillus_litoralis_GCF_009856415.prokka-NZ_WMEZ01000003.region002	43
Halobacillus_litoralis_GCF_009856445.prokka-NZ_WMFA01000002.region001	43
Halobacillus_litoralis_GCF_020524085.prokka-c00001_NZ_JAIV...region001	43
Halobacillus_sp._GCF_017307035.prokka-c00012_NZ_JAFL...region001	43
Halobacillus_sp._GCF_019599545.prokka-c00001_NZ_JAIE...region007	43
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000009.region001	47
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region001	47
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region001	47
Halobacillus_halophilus_GCF_020171985.prokka-c00009_NZ_JAIV...region001	47
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000010.region001	53
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region007	53
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region007	53
Halobacillus_halophilus_GCF_020171985.prokka-c00015_NZ_JAIV...region001	53
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region002	55
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region002	55
Halobacillus_halophilus_GCF_020171985.prokka-c00002_NZ_JAIV...region001	55
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region001	61
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region004	61
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region002	61
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region004	61
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000005.region003	61
Halobacillus_litoralis_GCF_020171885.prokka-c00006_NZ_JAIV...region001	61
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region003	63
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region006	63
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region006	63
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region006	63
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000005.region001	63
Halobacillus_litoralis_GCF_020171885.prokka-c00005_NZ_JAIV...region001	63
Halobacillus_halophilus_GCF_020171985.prokka-c00001_NZ_JAIV...region003	70
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region002	77
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region003	78
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000007.region001	80
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region004	86
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000006.region004	87
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region005	87
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region006	88
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region007	89
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region004	94
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region004	94
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000004.region003	94
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000007.region001	94
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region005	95
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region005	95
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000004.region002	95
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000007.region002	95
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000002.region001	102
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000003.region001	102
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000002.region001	102
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region003	111
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region003	111
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000001.region003	111
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000003.region001	111
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000004.region001	112
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region006	115
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000003.region002	115
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000004.region001	115
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000006.region001	115
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000008.region001	118
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000006.region001	121
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region003	121
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region003	121
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region003	121
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000013.region001	121
Halobacillus_litoralis_GCF_020171885.prokka-c00007_NZ_JAIV...region001	121
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region004	125
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region007	125
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region007	125
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region007	125
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000002.region001	125
Halobacillus_litoralis_GCF_020171885.prokka-c00005_NZ_JAIV...region002	125
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region001	126
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region001	126
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000004.region001	127
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region002	127
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region002	127
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region002	127
Halobacillus_litoralis_GCF_009856355.prokka-NZ_WMEW01000009.region001	127
Halobacillus_litoralis_GCF_020171885.prokka-c00004_NZ_JAIV...region001	127
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region004	136
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region005	137
