BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Halobacillus_aidingensis_GCF_900104185.prokka-NZ_FNIZ01000009.region002	NZ_FNIZ01000009	Halobacillus aidingensis strain strain	T3PKS	PKSother	Halobacillus aidingensis NZ_FNIZ0100.	
Halobacillus_alkaliphilus_GCF_900113125.prokka-NZ_FOOG01000003.region002	NZ_FOOG01000003	Halobacillus alkaliphilus strain strain	T3PKS	PKSother	Halobacillus alkaliphilus NZ_FOOG0100.	
Halobacillus_andaensis_GCF_014636475.prokka-NZ_BMEL01000001.region001	NZ_BMEL01000001	Halobacillus andaensis strain strain	T3PKS	PKSother	Halobacillus andaensis NZ_BMEL0100.	
Halobacillus_andaensis_GCF_017874135.prokka-c00001_NZ_JAGG...region001	c00001_NZ_JAGG..	Halobacillus andaensis strain strain	T3PKS	PKSother	Halobacillus andaensis NZ_JAGGKY01.	
Halobacillus_andaensis_OCO35-Chr1.prokka-c00001_gnl_CIA...region002	c00001_gnl_CIA..	Halobacillus andaensis strain strain	T3PKS	PKSother	Halobacillus andaensis gnl_CIATEJ_.	
Halobacillus_dabanensis_GCF_900114165.prokka-NZ_FOSB01000006.region002	NZ_FOSB01000006	Halobacillus dabanensis strain strain	T3PKS	PKSother	Halobacillus dabanensis NZ_FOSB0100.	
Halobacillus_faecis_GCF_007991335.prokka-NZ_BJYD01000020.region001	NZ_BJYD01000020	Halobacillus faecis strain strain	T3PKS	PKSother	Halobacillus faecis NZ_BJYD0100.	
Halobacillus_halophilus_GCF_000284515.prokka-NC_017668.1.region006	NC_017668.1	Halobacillus halophilus strain strain	T3PKS	PKSother	Halobacillus halophilus NC_017668.1.	
Halobacillus_halophilus_GCF_002209425.prokka-NZ_CP022106.1.region006	NZ_CP022106.1	Halobacillus halophilus strain strain	T3PKS	PKSother	Halobacillus halophilus NZ_CP022106.	
Halobacillus_halophilus_GCF_009856185.prokka-NZ_WMEP01000001.region002	NZ_WMEP01000001	Halobacillus halophilus strain strain	T3PKS	PKSother	Halobacillus halophilus NZ_WMEP0100.	
Halobacillus_halophilus_GCF_020171985.prokka-c00001_NZ_JAIV...region002	c00001_NZ_JAIV..	Halobacillus halophilus strain strain	T3PKS	PKSother	Halobacillus halophilus NZ_JAIVAL01.	
Halobacillus_hunanensis_GCF_900166655.prokka-NZ_FVZB01000007.region003	NZ_FVZB01000007	Halobacillus hunanensis strain strain	T3PKS	PKSother	Halobacillus hunanensis NZ_FVZB0100.	
Halobacillus_ihumii_GCF_902726645.prokka-c00001_NZ_CACV...region002	c00001_NZ_CACV..	Halobacillus ihumii strain strain	T3PKS	PKSother	Halobacillus ihumii NZ_CACVAO01.	
Halobacillus_karajensis_GCF_000723525.prokka-NZ_CCDJ010000003.region001	NZ_CCDJ010000003	Halobacillus karajensis strain strain	T3PKS	PKSother	Halobacillus karajensis NZ_CCDJ0100.	
Halobacillus_karajensis_GCF_000724105.prokka-NZ_CCDH010000002.region001	NZ_CCDH010000002	Halobacillus karajensis strain strain	T3PKS	PKSother	Halobacillus karajensis NZ_CCDH0100.	
Halobacillus_karajensis_GCF_000731155.prokka-NZ_CCDI010000001.region001	NZ_CCDI010000001	Halobacillus karajensis strain strain	T3PKS	PKSother	Halobacillus karajensis NZ_CCDI0100.	
Halobacillus_karajensis_GCF_900108515.prokka-NZ_FNWW01000004.region003	NZ_FNWW01000004	Halobacillus karajensis strain strain	T3PKS	PKSother	Halobacillus karajensis NZ_FNWW0100.	
Halobacillus_kuroshimensis_GCF_000425705.prokka-NZ_AUDY01000008.region005	NZ_AUDY01000008	Halobacillus kuroshimensis strain strain	T3PKS	PKSother	Halobacillus kuroshimensis NZ_AUDY0100.	
Halobacillus_kuroshimensis_GCF_017303015.prokka-c00001_NZ_JAEK...region005	c00001_NZ_JAEK..	Halobacillus kuroshimensis strain strain	T3PKS	PKSother	Halobacillus kuroshimensis NZ_JAEKJY01.	
Halobacillus_litoralis_GCF_004101865.prokka-NZ_CP026118.1.region001	NZ_CP026118.1	Halobacillus litoralis strain strain	T3PKS	PKSother	Halobacillus litoralis NZ_CP026118.	
Halobacillus_litoralis_GCF_009856285.prokka-NZ_WMET01000001.region005	NZ_WMET01000001	Halobacillus litoralis strain strain	T3PKS	PKSother	Halobacillus litoralis NZ_WMET0100.	
